team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
ATL,,BKN,,CHA,,okc,WAS,,was,,SAC,,nop,BOS,NYK,,det,CHI,,,bos,,,WAS,,por,sac,,gsw,,chi,,,DAL,,cle,CLE,cha,,NOP,,mil,,LAL,,DEN,,,nyk,,,mil,,,sas,,MEM,,MIN,,CHI,,MIA,tor,,,den,,lal,lac,,,uta,,phx,,HOU,,,PHX,chi,,,bos,,nyk,,DET,TOR,,TOR,,min,,,cle,,ind,,det,,SAS,,MIL,was,,orl,,nyk,,ORL,,,DET,MIA,,mia,,OKC,,,mem,MIL,,IND,,IND,,PHI,,CHA,,LAC,,bkn,,cha,,,,GSW,PHI,,hou,,mia,,,mil,,POR,dal,,,NYK,UTA,,orl,,bkn,phi,ORL
BOS,NYK,,was,,det,,MIL,,ind,,cha,cha,,atl,GSW,,BKN,,mil,,ATL,bkn,,,TOR,,,CLE,,,was,,MIN,LAC,,,chi,,cle,MIA,,DET,,MIL,MEM,,,,,DET,,,was,,CHI,,chi,,orl,PHI,,IND,,IND,,TOR,,min,hou,,okc,,den,,,SAC,,NOP,,,tor,,ORL,ATL,,gsw,,lac,lal,,dal,,HOU,,CHI,,nop,,phi,,cle,,DAL,,nyk,,mia,,SAS,,phi,,,NYK,,tor,det,,CLE,,DEN,,,POR,PHI,,LAL,,UTA,,OKC,,mia,bkn,,,BKN,,,uta,,por,sac,,phx,,,sas,,mem,,MIA,,PHX,,WAS,,nyk,orl,,CHA,CHA
CLE,,tor,,DET,was,,nyk,,LAL,,ORL,mil,,MIL,nop,,GSW,BKN,,chi,,phi,,CHI,,CHA,,bos,NOP,,,,TOR,,,ATL,atl,,BOS,,WAS,,DEN,,cha,mia,,,,,WAS,,,bkn,,MIL,PHI,,UTA,,,den,,,gsw,lal,,,dal,,CHA,,,OKC,TOR,,,IND,,ind,,okc,,min,,PHX,,hou,,phi,HOU,,DET,,mia,ATL,,,DAL,,BOS,det,,was,,,MIN,,tor,,bkn,NYK,,MEM,,orl,,,bos,,POR,,chi,MIA,,cha,,mil,,BKN,,,mem,,ORL,,lac,sac,,phx,,uta,,por,,SAS,det,,LAC,,,NYK,,sas,,SAC,,CHI,,ind,nyk,IND
NOP,,CHI,,por,,por,,gsw,gsw,,IND,,ATL,POR,CLE,,orl,,,BKN,,okc,,DEN,LAL,,,dal,cle,,GSW,,,ind,,TOR,mem,,nyk,atl,,,PHX,,OKC,sas,,,,SAC,,,ind,,hou,,NYK,DEN,,,HOU,MEM,,,LAC,,mia,,WAS,,was,,MIN,POR,,phi,,bos,,chi,DAL,,UTA,,,UTA,,MIL,,mem,cha,,tor,,DAL,,BOS,,,den,,den,,,sac,,okc,,SAC,SAC,,dal,,SAS,,SAS,,phx,phx,,uta,,lal,,HOU,,hou,MEM,,LAC,,,,sas,,DET,,min,,min,,det,PHI,,,,GSW,,CHA,,,lac,,lal,,ORL,,bkn,mil,,MIA,OKC
CHI,,nop,,mil,OKC,,mem,,ORL,,bkn,,,UTA,dal,MIN,,atl,,CLE,,nyk,,cle,,HOU,det,,mil,,ATL,MEM,,,was,orl,BOS,,,BKN,,,sas,IND,,PHI,,,,,CHA,,,tor,bos,,BOS,,MIL,,atl,,MIL,,cha,,was,,,NYK,,SAS,,ind,,WAS,,SAC,,NOP,ATL,,CHA,,por,,lac,,gsw,,PHI,,DEN,,bos,,tor,,det,,MIA,min,,,GSW,,,DET,DET,,nyk,,PHX,,phi,,LAC,,TOR,,ind,,CLE,,,,mia,,IND,,orl,BKN,,hou,,uta,,phx,sac,,lal,,den,,,LAL,,DAL,,okc,TOR,,,POR,,cha,,cle,MIA,,WAS,phi
DAL,,,SAS,,phx,,UTA,min,,HOU,,,ORL,IND,CHI,,PHX,,den,,gsw,,uta,,SAS,okc,,NOP,,,den,,mia,atl,,NYK,,uta,por,,MEM,,was,,tor,,,okc,,,,,gsw,,LAC,,LAC,,POR,MIN,,phx,por,,sac,,hou,,CLE,,,mem,LAL,,POR,,,DEN,,DEN,nop,,OKC,,,cha,,MIN,okc,,BOS,,WAS,,nop,,det,,cle,,phi,,bos,,HOU,,SAC,,GSW,MIA,,NOP,,gsw,,lal,,CHA,,MIL,,SAC,,mil,,MEM,,PHX,sas,,sas,,hou,,PHI,,,ind,,DET,,,bkn,nyk,,orl,,chi,,BKN,,ATL,,lac,lac,,,,LAL,,TOR,mem
DEN,,,OKC,,LAC,,tor,bkn,,,min,UTA,,TOR,OKC,,MIA,,DAL,,,,,nop,,mem,,mem,,,DAL,lal,,NYK,,uta,,,lac,,GSW,,cle,,was,atl,,,,,LAC,,,sac,por,,,nop,PHX,phx,,CLE,DET,,uta,,ATL,,SAS,sas,,,BOS,LAC,,BKN,,dal,,dal,HOU,,mia,,orl,,PHI,,SAC,,min,,chi,,nyk,,phi,cha,,NOP,,NOP,ORL,,phx,,POR,,POR,,CHA,,LAL,,ind,,,mil,det,,bos,,,SAC,,PHX,,okc,okc,,MIN,,LAL,WAS,,gsw,,lal,,por,,hou,CHI,,MIL,,UTA,,,,MIN,SAS,,gsw,,IND,,,sac,,MEM,hou
GSW,,por,,uta,,LAC,,NOP,NOP,,,hou,,was,bos,,cle,,okc,,DAL,,,MEM,,,lac,,ATL,,nop,sas,,BKN,,OKC,,phx,,,den,,HOU,MIN,,MIN,,,hou,,,,DAL,,mem,,min,,IND,LAL,,lac,PHX,,CLE,,,PHI,,MEM,SAC,,MIA,,det,ind,,,tor,,min,,,WAS,,BOS,,sac,CHI,,LAL,,,UTA,OKC,,PHX,,,ORL,,uta,lal,,chi,,mil,,dal,hou,,sac,,DAL,,CHA,,orl,,phi,,cha,nyk,,bkn,,DET,,POR,,,SAC,,NYK,,DEN,,TOR,MIL,,atl,,,mia,,,nop,,sas,,mem,,lal,DEN,,HOU,,phx,SAS,,por,LAC
HOU,,CHA,,MEM,sas,,sas,,,dal,,GSW,,NYK,SAS,,okc,,det,WAS,,LAC,,LAC,,chi,mil,,IND,,POR,POR,,,min,phi,,,OKC,,sac,,gsw,,,lac,,,GSW,,,okc,,,NOP,,,tor,cha,,nop,MIN,,MIA,,,DAL,,BOS,,LAL,,was,,mem,,atl,,MEM,,den,sac,,por,,DET,,CLE,,,cle,,bos,,,mem,,BKN,,nyk,bkn,,min,,dal,TOR,,,PHX,GSW,,MIN,uta,,,MIL,SAS,,,SAC,,okc,ind,,nop,,NOP,,ORL,,PHX,,DAL,CHI,,PHI,,orl,,mia,,DEN,,ATL,,uta,,,phx,lal,,UTA,,OKC,,gsw,,,lac,,lal,DEN
LAC,,PHX,,,den,gsw,,,POR,PHX,,OKC,,SAS,PHI,,sac,TOR,,okc,,hou,,hou,,UTA,GSW,,ORL,,SAC,,phi,bos,,was,min,,DEN,,POR,MIN,,,,HOU,,,,,den,,,UTA,dal,,dal,,mem,,,GSW,,,nop,sas,,okc,,ATL,,min,,den,,,CHA,,MIA,,BKN,por,,,LAL,,CHI,BOS,,,MIL,,phx,,sas,,cha,,tor,,LAL,,IND,,UTA,,,,MEM,,mil,,,ind,det,,chi,,lal,,lal,,phx,DET,,NYK,,SAC,,nop,mia,,atl,,WAS,,CLE,uta,,MEM,,OKC,,,nyk,,bkn,,cle,orl,,NOP,,DAL,DAL,,,SAS,HOU,,sac,gsw
