id,name,deadline,code,week
1,Gameweek 1 - Day 1,2024-10-22T23:00:00Z,1.1,1
2,Gameweek 1 - Day 2,2024-10-23T22:30:00Z,1.2,1
3,Gameweek 1 - Day 3,2024-10-24T22:30:00Z,1.3,1
4,Gameweek 1 - Day 4,2024-10-25T22:30:00Z,1.4,1
5,Gameweek 1 - Day 5,2024-10-26T20:30:00Z,1.5,1
6,Gameweek 1 - Day 6,2024-10-27T19:00:00Z,1.6,1
7,Gameweek 2 - Day 1,2024-10-28T22:30:00Z,2.1,2
8,Gameweek 2 - Day 2,2024-10-29T23:00:00Z,2.2,2
9,Gameweek 2 - Day 3,2024-10-30T22:30:00Z,2.3,2
10,Gameweek 2 - Day 4,2024-10-31T23:30:00Z,2.4,2
11,Gameweek 2 - Day 5,2024-11-01T22:30:00Z,2.5,2
12,Gameweek 2 - Day 6,2024-11-02T21:30:00Z,2.6,2
13,Gameweek 2 - Day 7,2024-11-03T20:00:00Z,2.7,2
14,Gameweek 3 - Day 1,2024-11-04T23:30:00Z,3.1,3
15,Gameweek 3 - Day 2,2024-11-06T23:30:00Z,3.2,3
16,Gameweek 3 - Day 3,2024-11-08T00:30:00Z,3.3,3
17,Gameweek 3 - Day 4,2024-11-08T23:30:00Z,3.4,3
18,Gameweek 3 - Day 5,2024-11-09T21:30:00Z,3.5,3
19,Gameweek 3 - Day 6,2024-11-10T19:30:00Z,3.6,3
20,Gameweek 4 - Day 1,2024-11-12T00:30:00Z,4.1,4
21,Gameweek 4 - Day 2,2024-11-12T23:30:00Z,4.2,4
22,Gameweek 4 - Day 3,2024-11-13T23:30:00Z,4.3,4
23,Gameweek 4 - Day 4,2024-11-15T01:30:00Z,4.4,4
24,Gameweek 4 - Day 5,2024-11-15T23:30:00Z,4.5,4
25,Gameweek 4 - Day 6,2024-11-16T19:30:00Z,4.6,4
26,Gameweek 4 - Day 7,2024-11-17T20:00:00Z,4.7,4
27,Gameweek 5 - Day 1,2024-11-18T23:30:00Z,5.1,5
28,Gameweek 5 - Day 2,2024-11-19T23:30:00Z,5.2,5
